江苏电信,#genre#
青海卫视,http://220.191.40.41:8888/udp/233.50.201.65:5140
西藏卫视,http://220.191.40.41:8888/udp/233.50.201.70:5140
兵团卫视,http://220.191.40.41:8888/udp/233.50.201.72:5140
浙江钱江,http://220.191.40.41:8888/udp/233.50.201.132:5140
浙江生活,http://220.191.40.41:8888/udp/233.50.201.133:5140
浙江教育,http://220.191.40.41:8888/udp/233.50.201.134:5140
浙江民生,http://220.191.40.41:8888/udp/233.50.201.136:5140
浙江新闻,http://220.191.40.41:8888/udp/233.50.201.137:5140
浙江少儿,http://220.191.40.41:8888/udp/233.50.201.138:5140
浙江纪录,http://220.191.40.41:8888/udp/233.50.202.25:5140
都市剧场,http://220.191.40.41:8888/udp/233.50.201.190:5140
欢笑剧场,http://220.191.40.41:8888/udp/233.50.201.189:5140
动漫秀场,http://220.191.40.41:8888/udp/233.50.201.184:5140
杭州综合,http://220.191.40.41:8888/udp/233.50.201.173:5140
杭州明珠,http://220.191.40.41:8888/udp/233.50.201.174:5140
杭州生活,http://220.191.40.41:8888/udp/233.50.201.175:5140
杭州影视,http://220.191.40.41:8888/udp/233.50.201.176:5140
杭州青少,http://220.191.40.41:8888/udp/233.50.201.177:5140
杭州导视,http://220.191.40.41:8888/udp/233.50.201.182:5140
宁波综合,http://220.191.40.41:8888/udp/233.50.201.168:5140
宁波生活,http://220.191.40.41:8888/udp/233.50.201.178:5140
宁波文体,http://220.191.40.41:8888/udp/233.50.201.179:5140
宁波影视,http://220.191.40.41:8888/udp/233.50.201.180:5140
宁波少儿,http://220.191.40.41:8888/udp/233.50.201.181:5140
温州综合,http://220.191.40.41:8888/udp/233.50.201.87:5140
绍兴综合,http://220.191.40.41:8888/udp/233.50.201.156:5140
衢州综合,http://220.191.40.41:8888/udp/233.50.202.11:5140
衢州公共,http://220.191.40.41:8888/udp/233.50.202.12:5140
丽水新闻综合,http://220.191.40.41:8888/udp/233.50.201.162:5140
之江纪录,http://220.191.40.41:8888/udp/233.50.202.25:5140
温州新闻,http://220.191.40.41:8888/udp/233.50.201.87:5140
绍兴新闻,http://220.191.40.41:8888/udp/233.50.201.156:5140
衢州新闻,http://220.191.40.41:8888/udp/233.50.201.155:5140
台州新闻,http://220.191.40.41:8888/udp/233.50.201.157:5140
湖州新闻,http://220.191.40.41:8888/udp/233.50.201.158:5140
金华新闻,http://220.191.40.41:8888/udp/233.50.201.161:5140
丽水新闻,http://220.191.40.41:8888/udp/233.50.201.162:5140
嘉兴新闻,http://220.191.40.41:8888/udp/233.50.201.163:5140
桐乡新闻,http://220.191.40.41:8888/udp/233.50.201.169:5140
游戏风云,http://220.191.40.41:8888/udp/233.50.201.183:5140
生活时尚,http://220.191.40.41:8888/udp/233.50.201.187:5140
法治天地,http://220.191.40.41:8888/udp/233.50.201.191:5140
金色学堂,http://220.191.40.41:8888/udp/233.50.201.186:5140
快乐垂钓,http://220.191.40.41:8888/udp/233.50.201.109:5140
茶频道台,http://220.191.40.41:8888/udp/233.50.201.188:5140
第一财经,http://220.191.40.41:8888/udp/233.50.200.125:5140
乐游纪实,http://220.191.40.41:8888/udp/233.50.201.185:5140
优优宝贝,http://220.191.40.41:8888/udp/233.50.202.24:5140
晴彩竞技,http://220.191.40.41:8888/udp/233.50.201.193:5140
晴彩篮球,http://220.191.40.41:8888/udp/233.50.201.194:5140
晴彩羽毛球,http://220.191.40.41:8888/udp/233.50.201.195:5140
晴彩广场舞,http://220.191.40.41:8888/udp/233.50.201.226:5140
轮播频道,http://220.191.40.41:8888/udp/233.50.201.116:5140
轮播频道,http://220.191.40.41:8888/udp/233.50.201.117:5140
直播,http://220.191.40.41:8888/udp/233.50.200.223:5140
CETV-4,http://220.191.40.41:8888/udp/233.50.200.162:5140
CETV1,http://220.191.40.41:8888/udp/233.50.201.75:5140
中国蓝直播,http://220.191.40.41:8888/udp/233.50.201.193:5140
CGTN西班牙,http://220.191.40.41:8888/udp/233.50.201.36:5140
CGTN法语,http://220.191.40.41:8888/udp/233.50.201.37:5140
CGTN阿拉伯,http://220.191.40.41:8888/udp/233.50.201.38:5140
CGTN俄语,http://220.191.40.41:8888/udp/233.50.201.39:5140
CGTN,http://220.191.40.41:8888/udp/233.50.201.126:5140
金鹰卡通,http://220.191.40.41:8888/udp/233.50.201.73:5140
哈哈炫动,http://220.191.40.41:8888/udp/233.50.201.74:5140
发现之旅,http://220.191.40.41:8888/udp/233.50.201.98:5140
少儿,http://220.191.40.41:8888/udp/233.50.201.20:5140
中国蓝直播,http://220.191.40.41:8888/udp/233.50.201.108:5140
CCTV-1,http://218.72.124.23:9999/udp/233.50.200.130:5140
CCTV-2,http://218.72.124.23:9999/udp/233.50.200.25:5140
CCTV-3,http://218.72.124.23:9999/udp/233.50.201.196:5140
CCTV-4,http://218.72.124.23:9999/udp/233.50.200.101:5140
CCTV-5,http://218.72.124.23:9999/udp/233.50.201.197:5140
CCTV-5+,http://218.72.124.23:9999/udp/233.50.201.220:5140
CCTV-6,http://218.72.124.23:9999/udp/233.50.201.198:5140
CCTV-7,http://218.72.124.23:9999/udp/233.50.200.24:5140
CCTV-8,http://218.72.124.23:9999/udp/233.50.201.199:5140
CCTV-9,http://218.72.124.23:9999/udp/233.50.201.121:5140
CCTV-10,http://218.72.124.23:9999/udp/233.50.201.122:5140
CCTV-11,http://218.72.124.23:9999/udp/233.50.201.11:5140
CCTV-12,http://218.72.124.23:9999/udp/233.50.201.123:5140
CCTV-13,http://218.72.124.23:9999/udp/233.50.201.246:5140
CCTV-14,http://218.72.124.23:9999/udp/233.50.201.124:5140
CCTV-15,http://218.72.124.23:9999/udp/233.50.201.15:5140
CCTV-16,http://218.72.124.23:9999/udp/233.50.201.192:5140
CCTV-17,http://218.72.124.23:9999/udp/233.50.200.113:5140
CCTV-16,http://218.72.124.23:9999/udp/233.50.201.63:5140
凤凰中文,http://218.72.124.23:9999/udp/233.50.200.191:5140
凤凰资讯,http://218.72.124.23:9999/udp/233.50.200.192:5140
浙江卫视,http://218.72.124.23:9999/udp/233.50.201.100:5140
湖南卫视,http://218.72.124.23:9999/udp/233.50.201.103:5140
江苏卫视,http://218.72.124.23:9999/udp/233.50.201.106:5140
东方卫视,http://218.72.124.23:9999/udp/233.50.201.125:5140
湖北卫视,http://218.72.124.23:9999/udp/233.50.201.114:5140
广东卫视,http://218.72.124.23:9999/udp/233.50.201.102:5140
北京卫视,http://218.72.124.23:9999/udp/233.50.201.107:5140
深圳卫视,http://218.72.124.23:9999/udp/233.50.201.101:5140
天津卫视,http://218.72.124.23:9999/udp/233.50.201.104:5140
河北卫视,http://218.72.124.23:9999/udp/233.50.201.140:5140
安徽卫视,http://218.72.124.23:9999/udp/233.50.201.113:5140
重庆卫视,http://218.72.124.23:9999/udp/233.50.200.114:5140
云南卫视,http://218.72.124.23:9999/udp/233.50.200.115:5140
四川卫视,http://218.72.124.23:9999/udp/233.50.201.139:5140
江西卫视,http://218.72.124.23:9999/udp/233.50.201.145:5140
黑龙江卫视,http://218.72.124.23:9999/udp/233.50.201.115:5140
山东卫视,http://218.72.124.23:9999/udp/233.50.201.105:5140
辽宁卫视,http://218.72.124.23:9999/udp/233.50.201.141:5140
贵州卫视,http://218.72.124.23:9999/udp/233.50.201.142:5140
河南卫视,http://218.72.124.23:9999/udp/233.50.201.144:5140
东南卫视,http://218.72.124.23:9999/udp/233.50.201.146:5140
吉林卫视,http://218.72.124.23:9999/udp/233.50.201.48:5140
广西卫视,http://218.72.124.23:9999/udp/233.50.201.49:5140
山西卫视,http://218.72.124.23:9999/udp/233.50.201.51:5140
海南卫视,http://218.72.124.23:9999/udp/233.50.201.55:5140
宁夏卫视,http://218.72.124.23:9999/udp/233.50.201.57:5140
陕西卫视,http://218.72.124.23:9999/udp/233.50.201.59:5140
青海卫视,http://218.72.124.23:9999/udp/233.50.201.65:5140
西藏卫视,http://218.72.124.23:9999/udp/233.50.201.70:5140
兵团卫视,http://218.72.124.23:9999/udp/233.50.201.72:5140
浙江钱江,http://218.72.124.23:9999/udp/233.50.201.132:5140
浙江生活,http://218.72.124.23:9999/udp/233.50.201.133:5140
浙江教育,http://218.72.124.23:9999/udp/233.50.201.134:5140
浙江民生,http://218.72.124.23:9999/udp/233.50.201.136:5140
浙江新闻,http://218.72.124.23:9999/udp/233.50.201.137:5140
浙江少儿,http://218.72.124.23:9999/udp/233.50.201.138:5140
浙江纪录,http://218.72.124.23:9999/udp/233.50.202.25:5140
都市剧场,http://218.72.124.23:9999/udp/233.50.201.190:5140
欢笑剧场,http://218.72.124.23:9999/udp/233.50.201.189:5140
动漫秀场,http://218.72.124.23:9999/udp/233.50.201.184:5140
杭州综合,http://218.72.124.23:9999/udp/233.50.201.173:5140
杭州明珠,http://218.72.124.23:9999/udp/233.50.201.174:5140
杭州生活,http://218.72.124.23:9999/udp/233.50.201.175:5140
杭州影视,http://218.72.124.23:9999/udp/233.50.201.176:5140
杭州青少,http://218.72.124.23:9999/udp/233.50.201.177:5140
杭州导视,http://218.72.124.23:9999/udp/233.50.201.182:5140
宁波综合,http://218.72.124.23:9999/udp/233.50.201.168:5140
宁波生活,http://218.72.124.23:9999/udp/233.50.201.178:5140
宁波文体,http://218.72.124.23:9999/udp/233.50.201.179:5140
宁波影视,http://218.72.124.23:9999/udp/233.50.201.180:5140
宁波少儿,http://218.72.124.23:9999/udp/233.50.201.181:5140
温州综合,http://218.72.124.23:9999/udp/233.50.201.87:5140
绍兴综合,http://218.72.124.23:9999/udp/233.50.201.156:5140
衢州综合,http://218.72.124.23:9999/udp/233.50.202.11:5140
衢州公共,http://218.72.124.23:9999/udp/233.50.202.12:5140
丽水新闻综合,http://218.72.124.23:9999/udp/233.50.201.162:5140
之江纪录,http://218.72.124.23:9999/udp/233.50.202.25:5140
温州新闻,http://218.72.124.23:9999/udp/233.50.201.87:5140
绍兴新闻,http://218.72.124.23:9999/udp/233.50.201.156:5140
衢州新闻,http://218.72.124.23:9999/udp/233.50.201.155:5140
台州新闻,http://218.72.124.23:9999/udp/233.50.201.157:5140
湖州新闻,http://218.72.124.23:9999/udp/233.50.201.158:5140
金华新闻,http://218.72.124.23:9999/udp/233.50.201.161:5140
丽水新闻,http://218.72.124.23:9999/udp/233.50.201.162:5140
嘉兴新闻,http://218.72.124.23:9999/udp/233.50.201.163:5140
桐乡新闻,http://218.72.124.23:9999/udp/233.50.201.169:5140
游戏风云,http://218.72.124.23:9999/udp/233.50.201.183:5140
生活时尚,http://218.72.124.23:9999/udp/233.50.201.187:5140
法治天地,http://218.72.124.23:9999/udp/233.50.201.191:5140
金色学堂,http://218.72.124.23:9999/udp/233.50.201.186:5140
快乐垂钓,http://218.72.124.23:9999/udp/233.50.201.109:5140
茶频道台,http://218.72.124.23:9999/udp/233.50.201.188:5140
第一财经,http://218.72.124.23:9999/udp/233.50.200.125:5140
乐游纪实,http://218.72.124.23:9999/udp/233.50.201.185:5140
优优宝贝,http://218.72.124.23:9999/udp/233.50.202.24:5140
晴彩竞技,http://218.72.124.23:9999/udp/233.50.201.193:5140
晴彩篮球,http://218.72.124.23:9999/udp/233.50.201.194:5140
晴彩羽毛球,http://218.72.124.23:9999/udp/233.50.201.195:5140
晴彩广场舞,http://218.72.124.23:9999/udp/233.50.201.226:5140
轮播频道,http://218.72.124.23:9999/udp/233.50.201.116:5140
轮播频道,http://218.72.124.23:9999/udp/233.50.201.117:5140
直播,http://218.72.124.23:9999/udp/233.50.200.223:5140
CETV-4,http://218.72.124.23:9999/udp/233.50.200.162:5140
CETV1,http://218.72.124.23:9999/udp/233.50.201.75:5140
中国蓝直播,http://218.72.124.23:9999/udp/233.50.201.193:5140
CGTN西班牙,http://218.72.124.23:9999/udp/233.50.201.36:5140
CGTN法语,http://218.72.124.23:9999/udp/233.50.201.37:5140
CGTN阿拉伯,http://218.72.124.23:9999/udp/233.50.201.38:5140
CGTN俄语,http://218.72.124.23:9999/udp/233.50.201.39:5140
CGTN,http://218.72.124.23:9999/udp/233.50.201.126:5140
金鹰卡通,http://218.72.124.23:9999/udp/233.50.201.73:5140
哈哈炫动,http://218.72.124.23:9999/udp/233.50.201.74:5140
发现之旅,http://218.72.124.23:9999/udp/233.50.201.98:5140
少儿,http://218.72.124.23:9999/udp/233.50.201.20:5140
中国蓝直播,http://218.72.124.23:9999/udp/233.50.201.108:5140
